Testing 533 payers...
Start: 2026-06-03T17:35:48.480528+00:00
================================================================================
  [72/533] Mercy Care Plan                               ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.mercycare | 17ms
  [73/533] MetroPlus Health Plan, Inc.                   ... 🔒 auth_required | HTTP 403 | 71ms
  [74/533] Molina Healthcare                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.molinahea | 480ms
  [75/533] MVP Health Care                               ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.mvphealth | 432ms
  [76/533] Neighborhood Health Plan of Rhode Island, Inc ... 🚫 unreachable | HTTPSConnectionPool(host='api.rhodeislan | 11ms
  [77/533] PacificSource Health Plans                    ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.pacificso | 103ms
  [78/533] Parkland Community Health Plan                ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.parklandc | 15ms
  [79/533] Partnership HealthPlan of California          ... 🔒 auth_required | HTTP 403 | 267ms
  [80/533] Plan de Salud Menonita                        ... 🟡 valid_non_fhir | HTTP 200 | 67ms
  [81/533] Point32Health, Inc.                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.point32he | 12ms
  [82/533] Presbyterian Health Plan/Presbyterian Insuran ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.phs.org', | 12ms
  [83/533] Priority Health                               ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.priorityh | 25ms
  [85/533] San Francisco Health Plan (SFHP)              ... 🔒 auth_required | HTTP 403 | 274ms
  [86/533] Santa Clara Family Health Plan                ... ❌ not_found | HTTP 404 | 269ms
  [87/533] SCAN Health Plan                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.scanhealt | 27ms
  [88/533] Security Health Plan of Wisconsin, Inc.       ... 🚫 unreachable | HTTPSConnectionPool(host='api.wisconsinf | 10ms
  [89/533] SelectHealth                                  ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.selecthea | 28ms
  [90/533] Sentara Health Plans, Inc.                    ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.sentara.c | 31ms
  [91/533] State of Alabama                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.medicaid. | 36ms
  [92/533] State of Alaska                               ... 🚫 unreachable | HTTPSConnectionPool(host='api.alaskafhir | 9278ms
  [94/533] State of Arkansas                             ... 🚫 unreachable | HTTPSConnectionPool(host='api.kansasfhir | 14ms
  [95/533] State of California                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.dhcs.ca.g | 27ms
  [96/533] State of Colorado                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.colorado. | 21ms
  [97/533] State of Connecticut                          ... ❌ not_found | HTTP 404 | 85ms
  [98/533] State of Florida                              ... ❌ not_found | HTTP 404 | 109ms
  [99/533] State of Georgia                              ... 🚫 unreachable | HTTPSConnectionPool(host='api.georgiafhi | 15ms
  [100/533] State of Idaho                                ... ✅ valid | HTTP 200 | 104ms
  [103/533] State of Kentucky                             ... 🚫 unreachable | HTTPSConnectionPool(host='api.kentuckyfh | 17ms
  [104/533] State of Louisiana                            ... 🚫 unreachable | HTTPSConnectionPool(host='api.louisianaf | 8ms
  [105/533] State of Maine                                ... ❌ not_found | HTTP 404 | 1213ms
  [106/533] State of Maryland                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.medicaid. | 20ms
  [107/533] State of Massachusetts                        ... 🚫 unreachable | HTTPSConnectionPool(host='api.masshealth | 21ms
  [108/533] State of Michigan                             ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.michigan. | 24ms
  [111/533] State of Missouri                             ... ❌ not_found | HTTP 404 | 394ms
  [113/533] State of Nevada                               ... 🚫 unreachable | HTTPSConnectionPool(host='api.nevadafhir | 6ms
  [114/533] State of New York                             ... 🔒 auth_required | HTTP 403 | 96ms
  [115/533] State of North Carolina                       ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.ncmedicai | 28ms
  [116/533] State of North Dakota                         ... ⏱️ timeout | timeout | 20259ms
  [118/533] State of Oklahoma                             ... 🚫 unreachable | HTTPSConnectionPool(host='api.oklahomafh | 37ms
  [119/533] State of Oregon                               ... 🚫 unreachable | HTTPSConnectionPool(host='api.oregonfhir | 19ms
  [120/533] State of Pennsylvania                         ... ⚠️ client_error | HTTP 400 | 2772ms
  [121/533] State of South Carolina                       ... 🚫 unreachable | HTTPSConnectionPool(host='pd.fhir.scdhhs | 29ms
  [122/533] State of South Dakota                         ... ❌ not_found | HTTP 404 | 373ms
  [123/533] State of Texas                                ... 🔒 auth_required | HTTP 403 | 319ms
  [124/533] State of Utah                                 ... 🔒 auth_required | HTTP 403 | 605ms
  [125/533] State of Vermont                              ... 🚫 unreachable | HTTPSConnectionPool(host='api.vermontfhi | 24ms
  [126/533] State of Washington                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.wa.gov',  | 29ms
